OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end	alpha	p	dN	dS	pN	pS	DoS
Group_7938_0	14409	ctc1	CTS telomere maintenance complex component 1 [Source:ZFIN%3BAcc:ZDB-GENE-061103-271]	chr1	307206	462262	-0.134751773049645	1	47	32	5	3	-0.0300632911392406
Group_1088_2	14420	loc107376790		chr1	1159937	1180028	0.161904761904762	0.823882190923587	21	40	11	25	0.0387067395264116
Group_141_12	19265	olgc8	Oryzias latipes membrane guanylyl cyclase (olgc8)%2C mRNA. [Source:RefSeq mRNA%3BAcc:NM_001104651]	chr1	2028162	2041629	0.379807692307692	0.74686764254082	16	43	3	13	0.0836864406779661
Group_60_28	20815	cyp17a2	uncharacterized protein LOC100702216  [Source:RefSeq peptide%3BAcc:NP_001266387]	chr1	2364017	2368736	-0.388888888888889	0.735883663202484	18	30	5	6	-0.0795454545454545
Group_2978_0	20807	si:ch73-290k24.5	si:ch73-290k24.5 [Source:ZFIN%3BAcc:ZDB-GENE-110411-284]	chr1	2381776	2393978	-0.363636363636364	0.638998122890459	33	45	12	12	-0.0769230769230769
Group_1440_2	17832	zgc:101853	zgc:101853 [Source:ZFIN%3BAcc:ZDB-GENE-041212-13]	chr1	2504645	2506471	-0.5625	0.673927711597397	16	25	3	3	-0.109756097560976
Group_199_10	950	zgc:158659	zgc:158659 [Source:ZFIN%3BAcc:ZDB-GENE-070112-492]	chr1	2644917	2675101	-0.866666666666667	0.607171659567818	5	42	2	9	-0.0754352030947776
Group_8128_0	17825	si:ch73-132f6.5	si:ch73-132f6.5 [Source:ZFIN%3BAcc:ZDB-GENE-030131-9581]	chr1	2884037	2904321	0.113846153846154	1	25	36	8	13	0.0288836846213896
Group_1423_1	17823	loc107396751		chr1	2908813	2911816	0.318181818181818	1	11	15	1	2	0.0897435897435898
Group_1423_3	17822	zgc:194355	zgc:194355 [Source:ZFIN%3BAcc:ZDB-GENE-081022-106]	chr1	2913381	2915373	-1.37037037037037	0.401186503522432	9	16	4	3	-0.211428571428571
