Protein stable ID	Human gene stable ID
ENSTRUP00000000001	ENSG00000164600
ENSTRUP00000000002	ENSG00000104833
ENSTRUP00000000003	ENSG00000152193
ENSTRUP00000000004	ENSG00000156466
ENSTRUP00000000005	ENSG00000157184
ENSTRUP00000000006	ENSG00000157184
ENSTRUP00000000007	ENSG00000261833
ENSTRUP00000000008	ENSG00000152192
ENSTRUP00000000009	ENSG00000152192
ENSTRUP00000000010	ENSG00000108639
ENSTRUP00000000011	ENSG00000165487
ENSTRUP00000000012	ENSG00000165487
ENSTRUP00000000013	
ENSTRUP00000000014	ENSG00000147145
ENSTRUP00000000015	
ENSTRUP00000000016	
ENSTRUP00000000017	
ENSTRUP00000000018	
ENSTRUP00000000019	
ENSTRUP00000000020	
ENSTRUP00000000021	
ENSTRUP00000000022	
ENSTRUP00000000023	
ENSTRUP00000000024	
ENSTRUP00000000025	ENSG00000278195
ENSTRUP00000000026	ENSG00000278195
ENSTRUP00000000027	ENSG00000278195
ENSTRUP00000000028	ENSG00000170604
ENSTRUP00000000029	ENSG00000170604
ENSTRUP00000000030	ENSG00000118160
ENSTRUP00000000031	ENSG00000118160
ENSTRUP00000000032	ENSG00000118160
ENSTRUP00000000033	ENSG00000118160
ENSTRUP00000000034	ENSG00000112514
ENSTRUP00000000035	ENSG00000166862
ENSTRUP00000000036	ENSG00000166862
ENSTRUP00000000037	ENSG00000166862
ENSTRUP00000000038	ENSG00000100360
ENSTRUP00000000039	ENSG00000155313
ENSTRUP00000000040	ENSG00000155313
ENSTRUP00000000041	ENSG00000155313
ENSTRUP00000000042	ENSG00000100324
ENSTRUP00000000043	ENSG00000100324
ENSTRUP00000000044	ENSG00000100324
ENSTRUP00000000045	ENSG00000100324
ENSTRUP00000000046	ENSG00000100324
ENSTRUP00000000047	ENSG00000100324
ENSTRUP00000000048	
ENSTRUP00000000049	ENSG00000013364
ENSTRUP00000000050	ENSG00000087087
ENSTRUP00000000051	
ENSTRUP00000000052	
ENSTRUP00000000053	ENSG00000070886
ENSTRUP00000000054	ENSG00000070886
ENSTRUP00000000055	ENSG00000070886
ENSTRUP00000000056	ENSG00000070886
ENSTRUP00000000057	ENSG00000070886
ENSTRUP00000000058	ENSG00000070886
ENSTRUP00000000059	ENSG00000070886
ENSTRUP00000000060	ENSG00000070886
ENSTRUP00000000061	ENSG00000070886
ENSTRUP00000000062	ENSG00000070886
ENSTRUP00000000063	ENSG00000171681
ENSTRUP00000000064	ENSG00000171681
ENSTRUP00000000065	ENSG00000082805
ENSTRUP00000000066	ENSG00000082805
ENSTRUP00000000067	ENSG00000082805
ENSTRUP00000000068	ENSG00000082805
ENSTRUP00000000069	ENSG00000100167
ENSTRUP00000000070	ENSG00000100167
ENSTRUP00000000071	ENSG00000100167
ENSTRUP00000000072	ENSG00000100167
ENSTRUP00000000073	ENSG00000128268
ENSTRUP00000000074	ENSG00000128268
ENSTRUP00000000075	ENSG00000177303
ENSTRUP00000000076	ENSG00000180530
ENSTRUP00000000077	ENSG00000184471
ENSTRUP00000000077	ENSG00000133466
ENSTRUP00000000078	ENSG00000183569
ENSTRUP00000000079	ENSG00000198125
ENSTRUP00000000080	ENSG00000176399
ENSTRUP00000000081	ENSG00000176399
ENSTRUP00000000082	ENSG00000176399
ENSTRUP00000000083	ENSG00000176399
ENSTRUP00000000084	ENSG00000176399
ENSTRUP00000000085	ENSG00000187045
ENSTRUP00000000086	ENSG00000187045
ENSTRUP00000000087	ENSG00000187045
ENSTRUP00000000088	ENSG00000187045
ENSTRUP00000000089	ENSG00000187045
ENSTRUP00000000090	ENSG00000100162
ENSTRUP00000000091	ENSG00000079691
ENSTRUP00000000092	
ENSTRUP00000000093	
ENSTRUP00000000094	
ENSTRUP00000000095	
ENSTRUP00000000096	ENSG00000145384
ENSTRUP00000000097	ENSG00000145384
ENSTRUP00000000098	ENSG00000157110
ENSTRUP00000000099	ENSG00000157110
ENSTRUP00000000100	ENSG00000157110
ENSTRUP00000000101	ENSG00000157110
ENSTRUP00000000102	ENSG00000157110
ENSTRUP00000000103	ENSG00000184916
ENSTRUP00000000104	ENSG00000183172
ENSTRUP00000000105	ENSG00000100106
ENSTRUP00000000106	ENSG00000100106
ENSTRUP00000000107	ENSG00000168135
ENSTRUP00000000108	ENSG00000168135
ENSTRUP00000000109	ENSG00000104671
ENSTRUP00000000110	ENSG00000005513
ENSTRUP00000000111	ENSG00000005513
ENSTRUP00000000112	ENSG00000185053
ENSTRUP00000000113	ENSG00000185053
ENSTRUP00000000114	ENSG00000104889
ENSTRUP00000000115	
ENSTRUP00000000116	
ENSTRUP00000000117	
ENSTRUP00000000118	
ENSTRUP00000000119	
ENSTRUP00000000120	
ENSTRUP00000000121	ENSG00000273079
ENSTRUP00000000122	ENSG00000273079
ENSTRUP00000000123	ENSG00000012779
ENSTRUP00000000124	ENSG00000115282
ENSTRUP00000000125	ENSG00000105613
ENSTRUP00000000126	ENSG00000164073
ENSTRUP00000000127	ENSG00000164073
ENSTRUP00000000128	ENSG00000164073
ENSTRUP00000000129	
ENSTRUP00000000130	
ENSTRUP00000000131	
ENSTRUP00000000132	
ENSTRUP00000000133	
ENSTRUP00000000134	
ENSTRUP00000000135	
ENSTRUP00000000136	ENSG00000188803
ENSTRUP00000000137	ENSG00000188803
ENSTRUP00000000138	ENSG00000188803
ENSTRUP00000000139	
ENSTRUP00000000140	
ENSTRUP00000000141	
ENSTRUP00000000142	
ENSTRUP00000000143	
ENSTRUP00000000144	
ENSTRUP00000000145	
ENSTRUP00000000146	
ENSTRUP00000000147	
ENSTRUP00000000148	
ENSTRUP00000000149	ENSG00000131876
ENSTRUP00000000150	ENSG00000131876
ENSTRUP00000000151	ENSG00000131876
ENSTRUP00000000152	ENSG00000007237
ENSTRUP00000000153	
ENSTRUP00000000154	
ENSTRUP00000000155	
ENSTRUP00000000156	ENSG00000163344
ENSTRUP00000000157	
ENSTRUP00000000158	ENSG00000106546
ENSTRUP00000000158	ENSG00000283321
ENSTRUP00000000159	ENSG00000106546
ENSTRUP00000000159	ENSG00000283321
ENSTRUP00000000160	ENSG00000106546
ENSTRUP00000000160	ENSG00000283321
ENSTRUP00000000161	ENSG00000106546
ENSTRUP00000000161	ENSG00000283321
ENSTRUP00000000162	ENSG00000106546
ENSTRUP00000000162	ENSG00000283321
ENSTRUP00000000163	ENSG00000140471
ENSTRUP00000000164	ENSG00000167460
ENSTRUP00000000165	ENSG00000036530
ENSTRUP00000000166	ENSG00000036530
ENSTRUP00000000167	ENSG00000036530
ENSTRUP00000000168	ENSG00000036530
ENSTRUP00000000169	ENSG00000069275
ENSTRUP00000000170	ENSG00000069275
ENSTRUP00000000171	ENSG00000042062
ENSTRUP00000000172	
ENSTRUP00000000173	ENSG00000158711
ENSTRUP00000000174	ENSG00000158711
ENSTRUP00000000175	ENSG00000158711
ENSTRUP00000000176	ENSG00000158711
ENSTRUP00000000177	ENSG00000158711
ENSTRUP00000000178	ENSG00000158711
ENSTRUP00000000179	ENSG00000205476
ENSTRUP00000000180	ENSG00000117598
ENSTRUP00000000181	ENSG00000151690
ENSTRUP00000000182	ENSG00000151690
ENSTRUP00000000183	ENSG00000153774
ENSTRUP00000000184	ENSG00000138386
ENSTRUP00000000185	ENSG00000174514
ENSTRUP00000000186	ENSG00000174514
ENSTRUP00000000187	ENSG00000061936
ENSTRUP00000000188	ENSG00000061936
ENSTRUP00000000189	ENSG00000102001
ENSTRUP00000000190	
ENSTRUP00000000191	ENSG00000132323
ENSTRUP00000000192	ENSG00000132323
ENSTRUP00000000193	ENSG00000132323
ENSTRUP00000000194	ENSG00000188403
ENSTRUP00000000194	ENSG00000282651
ENSTRUP00000000194	ENSG00000211950
ENSTRUP00000000194	ENSG00000211945
ENSTRUP00000000194	ENSG00000277282
ENSTRUP00000000194	ENSG00000281179
ENSTRUP00000000194	ENSG00000211935
ENSTRUP00000000194	ENSG00000211973
ENSTRUP00000000194	ENSG00000282122
ENSTRUP00000000194	ENSG00000211934
ENSTRUP00000000194	ENSG00000211966
ENSTRUP00000000194	ENSG00000211979
ENSTRUP00000000194	ENSG00000211968
ENSTRUP00000000194	ENSG00000281990
ENSTRUP00000000194	ENSG00000278782
ENSTRUP00000000194	ENSG00000211961
ENSTRUP00000000194	ENSG00000211962
ENSTRUP00000000194	ENSG00000280411
ENSTRUP00000000194	ENSG00000270505
ENSTRUP00000000195	
ENSTRUP00000000196	ENSG00000211947
ENSTRUP00000000196	ENSG00000211946
ENSTRUP00000000196	ENSG00000211941
ENSTRUP00000000196	ENSG00000277856
ENSTRUP00000000196	ENSG00000211938
ENSTRUP00000000196	ENSG00000211949
ENSTRUP00000000196	ENSG00000271130
ENSTRUP00000000196	ENSG00000270472
ENSTRUP00000000196	ENSG00000211972
ENSTRUP00000000196	ENSG00000211976
ENSTRUP00000000196	ENSG00000225698
ENSTRUP00000000196	ENSG00000211965
ENSTRUP00000000196	ENSG00000211943
ENSTRUP00000000196	ENSG00000211955
ENSTRUP00000000196	ENSG00000232216
ENSTRUP00000000196	ENSG00000277761
ENSTRUP00000000196	ENSG00000223648
ENSTRUP00000000196	ENSG00000277836
ENSTRUP00000000196	ENSG00000270467
ENSTRUP00000000196	ENSG00000271178
ENSTRUP00000000196	ENSG00000259680
ENSTRUP00000000196	ENSG00000211964
ENSTRUP00000000196	ENSG00000270550
ENSTRUP00000000196	ENSG00000282639
ENSTRUP00000000196	ENSG00000211942
ENSTRUP00000000196	ENSG00000259490
ENSTRUP00000000196	ENSG00000224650
ENSTRUP00000000196	ENSG00000233732
ENSTRUP00000000196	ENSG00000240041
ENSTRUP00000000197	ENSG00000211947
ENSTRUP00000000197	ENSG00000211946
ENSTRUP00000000197	ENSG00000211941
ENSTRUP00000000197	ENSG00000277856
ENSTRUP00000000197	ENSG00000211938
ENSTRUP00000000197	ENSG00000211949
ENSTRUP00000000197	ENSG00000271130
ENSTRUP00000000197	ENSG00000270472
ENSTRUP00000000197	ENSG00000211972
ENSTRUP00000000197	ENSG00000211976
ENSTRUP00000000197	ENSG00000225698
ENSTRUP00000000197	ENSG00000211965
