OrthoID	SpGeneId	GeneSymbol	GeneName	chr	start	end
Group_6935_0	017194	akap12b	A kinase (PRKA) anchor protein 12b [Source:ZFIN%3BAcc:ZDB-GENE-030131-9753]	chrLG15	24184188	24213683
Group_1743_1	017216	msgn1	mesogenin 1	chrLG15	23986592	23987011
Group_7762_0	017217	gen1	GEN1%2C Holliday junction 5' flap endonuclease	chrLG15	23980735	23984069
Group_7628_0	017201	cd164	CD164 molecule%2C transcript variant X1	chrLG15	23967873	23975082
Group_56_7	017309	rhob	ras homolog family member B	chrLG15	22820089	22820670
Group_2451_1	017296	znf106a	zinc finger protein 106a [Source:ZFIN%3BAcc:ZDB-GENE-040718-21]	chrLG15	22715883	22725250
Group_5044_0	017475	rnf8	ring finger protein 8%2C transcript variant X1	chrLG15	22221657	22228564
Group_7019_0	017534	abracl	ABRA C-terminal like	chrLG15	20434160	20434720
Group_677_1	017542	tfap2b	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)%2C transcript variant X1	chrLG15	20077919	20084807
Group_5464_0	017544	lrp11	LDL receptor related protein 11%2C transcript variant X1	chrLG15	19970018	19976481
Group_2595_1	017562	pcmt	protein-L-isoaspartate (D-aspartate) O-methyltransferase [Source:ZFIN%3BAcc:ZDB-GENE-990415-134]	chrLG15	19962727	19967852
Group_5807_0	017545	nup43	nucleoporin 43kDa	chrLG15	19959326	19962392
Group_155_8	017564	loc107377778		chrLG15	19901229	19916654
Group_345_0	017433	tnnt1	troponin T type 1 (skeletal%2C slow) [Source:ZFIN%3BAcc:ZDB-GENE-080723-27]	chrLG15	18455009	18479456
Group_222_7	025750	cabz01118770.1	unknown	chrLG15	18344729	18354030
Group_1785_1	025753	carhsp1	calcium regulated heat stable protein 1	chrLG15	18304324	18308701
Group_49_1	017384	cdh12a	cadherin 12%2C type 2a (N-cadherin 2) [Source:ZFIN%3BAcc:ZDB-GENE-070912-673]	chrLG15	16512981	16713717
Group_1084_1	025745	prtfdc1	phosphoribosyl transferase domain containing 1	chrLG15	15384254	15393065
Group_1984_0	017267	tmem14ca	transmembrane protein 14Ca [Source:ZFIN%3BAcc:ZDB-GENE-060825-156]	chrLG15	13816366	13817737
Group_7553_0	000028	ofcc1	orofacial cleft 1 candidate 1	chrLG15	13569494	13660315
Group_239_6	017497	esama	endothelial cell adhesion molecule a [Source:ZFIN%3BAcc:ZDB-GENE-090629-1]	chrLG15	12380629	12444214
Group_627_1	024595	acat1	acetyl-CoA acetyltransferase 1	chrLG15	12341330	12347431
Group_46_22	023473	crybb1l3	crystallin%2C beta B1%2C like 3 [Source:ZFIN%3BAcc:ZDB-GENE-070820-11]	chrLG3	8253933	8255489
Group_24_11	026002	drd2l	dopamine receptor D2 like [Source:ZFIN%3BAcc:ZDB-GENE-030910-1]	chrLG3	7305636	7313801
Group_3202_0	023498	ethe1	ethylmalonic encephalopathy 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2503]	chrLG3	7275060	7278151
Group_698_1	023499	phldb3	pleckstrin homology like domain family B member 3	chrLG3	7252751	7265495
Group_836_1	023516	mag	myelin associated glycoprotein%2C transcript variant X1	chrLG3	7154166	7160618
Group_121_2	023586	lingo4b	leucine rich repeat and Ig domain containing 4b [Source:ZFIN%3BAcc:ZDB-GENE-091214-3]	chrLG3	6016113	6017924
