Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_5906_0 trappc1  have too few sites, skip
Group_6023_0 ift46  have too few sites, skip
Group_3112_3 unknown  have too few sites, skip
Group_1122_1 camta2  have too few sites, skip
Group_772_1 eno3  have too few sites, skip
Group_1803_1 pfn1  have too few sites, skip
Group_1440_2 zgc:101853  have too few sites, skip
Group_4759_0 wdr55  have too few sites, skip
Group_766_0-Group_766_4 psip1  have too few sites, skip
Group_407_3 rbm46  have too few sites, skip
Group_2663_0 hacd1  have too few sites, skip
Group_32_17 fga  have too few sites, skip
Group_634_3 trim2b  have too few sites, skip
Group_877_1 zgc:92360  have too few sites, skip
Group_3_90 si:ch73-379f7.4  have too few sites, skip
Group_1160_2 lgals2b  have too few sites, skip
Group_705_2 sh3gl2  have too few sites, skip
Group_745_1 loc107376860  have too few sites, skip
Group_1040_2 arfip1  have too few sites, skip
Group_2477_1 ifi30  have too few sites, skip
Group_19_40 cdkl2  have too few sites, skip
Group_12_46 txk  have too few sites, skip
Group_67_27 fbxw7  have too few sites, skip
Group_2757_1 otud4  have too few sites, skip
Group_7856_0 unknown  have too few sites, skip
Group_2107_0 ifitm5  have too few sites, skip
Group_4268_0 rfwd3  have too few sites, skip
Group_6995_0 pih1d1  have too few sites, skip
Group_3795_1 si:dkey-9k7.3  have too few sites, skip
Group_3900_0 epoa  have too few sites, skip
Group_248_11 si:dkey-85k7.10  have too few sites, skip
Group_923_2 efnb3a  have too few sites, skip
Group_1096_0 kdm6ba  have too few sites, skip
Group_2903_1 tmem88b  have too few sites, skip
Group_106_1 cabp4  have too few sites, skip
Group_64_24 styx  have too few sites, skip
Group_6702_0 gnpnat1  have too few sites, skip
Group_4042_0 nagk  have too few sites, skip
Group_866_1 znf219  have too few sites, skip
Group_67_19 plrg1  have too few sites, skip
Group_32_12 fgg  have too few sites, skip
Group_4_51 rab39b  have too few sites, skip
Group_5_45 loc107395471  have too few sites, skip
Group_3398_0 ripk3  have too few sites, skip
Group_1030_1 lpcat4  have too few sites, skip
Group_148_3 slc12a6  have too few sites, skip
Group_614_3 tox4b  have too few sites, skip
Group_4594_0 supt16h  have too few sites, skip
Group_10_77 cysltr1  have too few sites, skip
Group_10_22 lpar4  have too few sites, skip
Group_10_16 gpr174  have too few sites, skip
Group_1124_1 si:cabz01101003.1  have too few sites, skip
Group_1766_1 zgc:92287  have too few sites, skip
Group_6327_0 pm20d1.2  have too few sites, skip
Group_23_39 nfasc  have too few sites, skip
Group_131_1 slc16a7  have too few sites, skip
Group_288_2 fam19a1  have too few sites, skip
Group_288_7 fam19a4a  have too few sites, skip
Group_1780_0 uba3  have too few sites, skip
Group_1751_0 arl6ip5b  have too few sites, skip
Group_488_2 lmod3  have too few sites, skip
Group_544_0 mitf  have too few sites, skip
Group_145_5 gpr185b  have too few sites, skip
Group_24_8 htr2cl1  have too few sites, skip
Group_5962_0 tnfsf10l  have too few sites, skip
Group_225_9 clcn5a  have too few sites, skip
Group_7763_0 bmp15  have too few sites, skip
Group_8168_0 zgc:194626  have too few sites, skip
Group_1313_0 hdac8  have too few sites, skip
Group_1486_1 arhgap6  have too few sites, skip
Group_514_6 irs4a  have too few sites, skip
Group_5035_0 ankrd46b  have too few sites, skip
Group_7045_0 rps18  have too few sites, skip
Group_3029_0 ring1  have too few sites, skip
Group_795_0 pnp5a  have too few sites, skip
Group_5945_0 sf3b2  have too few sites, skip
Group_932_4 klc2  have too few sites, skip
Group_102_5 actn3a  have too few sites, skip
Group_4385_0 pfdn2  have too few sites, skip
Group_2517_1 nit1  have too few sites, skip
Group_6057_0 aadat  have too few sites, skip
Group_6924_0 trmt10b  have too few sites, skip
Group_8157_1 loc107377054  have too few sites, skip
Group_235_2 f13a1b  have too few sites, skip
Group_5559_0 tex261  have too few sites, skip
Group_2269_0 vax2  have too few sites, skip
Group_3238_1 si:ch211-74f19.2  have too few sites, skip
Group_2246_1 ical1  have too few sites, skip
Group_754_1 fam117ba  have too few sites, skip
Group_1175_2 ddit4l  have too few sites, skip
Group_147_19 ppp3ca  have too few sites, skip
Group_2773_0 unknown  have too few sites, skip
Group_361_5 gata6  have too few sites, skip
Group_1998_0 mib1  have too few sites, skip
Group_2551_1 greb1l  have too few sites, skip
Group_6_79 rock1  have too few sites, skip
Group_4174_0 usp14  have too few sites, skip
Group_6300_0 thoc1  have too few sites, skip
Group_360_4 aqp1a.1  have too few sites, skip
Group_89_7 kcnj6  have too few sites, skip
Group_2271_1 kctd7  have too few sites, skip
Group_2634_1 pgrmc1  have too few sites, skip
Group_4_69 rab24  have too few sites, skip
Group_1180_2 znf346  have too few sites, skip
Group_2178_1 larp1  have too few sites, skip
Group_7492_0 faxdc2  have too few sites, skip
Group_167_4 h2afy  have too few sites, skip
Group_2933_1 pcbd2  have too few sites, skip
Group_1063_2 endou2  have too few sites, skip
Group_1330_3 spry4  have too few sites, skip
Group_97_7 fgf1b  have too few sites, skip
Group_638_2 arhgap26  have too few sites, skip
Group_609_4 kctd16b  have too few sites, skip
Group_4205_0 grxcr2  have too few sites, skip
Group_4233_0 larsb  have too few sites, skip
Group_24_29 drd1b  have too few sites, skip
Group_630_0 cpeb4  have too few sites, skip
Group_423_5 fhl1b  have too few sites, skip
Group_290_5 slc7a3a  have too few sites, skip
Group_4_88 rab38c  have too few sites, skip
Group_629_3 loc107386738  have too few sites, skip
Group_592_3 rbm14a  have too few sites, skip
Group_2_95 f9b  have too few sites, skip
Group_97_28 loc107386761  have too few sites, skip
Group_24_20 adrb2b  have too few sites, skip
Group_1635_2 ubtd2  have too few sites, skip
Group_5055_0 ublcp1  have too few sites, skip
Group_1385_0 etnppl  have too few sites, skip
Group_7089_0 rpl34  have too few sites, skip
Group_6027_0 ostc  have too few sites, skip
Group_256_10 slc24a2  have too few sites, skip
Group_6808_0 sepsecs  have too few sites, skip
Group_68_20 adamtsl1  have too few sites, skip
Group_626_2 zdhhc21  have too few sites, skip
