029611	NORv12scf1	3127	4049	-	16250	660	24.621212121212
029612	NORv12scf1	8042	8964	-	13156	660	19.933333333333
029618	NORv12scf1	10125	12422	+	25018	489	51.161554192229
029621	NORv12scf1	26004	26357	+	7935	354	22.415254237288
000001	NORv12scf1	26929	28494	+	24656	642	38.404984423676
029620	NORv12scf1	113918	114220	-	21201	303	69.970297029703
029624	NORv12scf1	183388	183477	+	6634	90	73.711111111111
029619	NORv12scf1	291726	292145	-	22849	420	54.402380952381
029600	NORv12scf1	518783	743515	+	187789	3258	57.639349294045
029613	NORv12scf1	536870	537175	-	20974	306	68.542483660131
029601	NORv12scf1	790153	823196	+	71469	1020	70.067647058824
029614	NORv12scf1	823114	871286	-	181534	3006	60.390552228876
029602	NORv12scf1	875234	895332	+	67200	1026	65.497076023392
029603	NORv12scf1	938203	938556	+	18833	354	53.200564971751
029604	NORv12scf1	1091165	1169939	+	53302	855	62.341520467836
029605	NORv12scf1	1187641	1215959	+	68457	987	69.358662613982
029615	NORv12scf1	1217513	1231784	-	92634	1359	68.163355408389
029606	NORv12scf1	1233579	1235242	+	39688	732	54.218579234973
029616	NORv12scf1	1238088	1267548	-	254369	4059	62.667898497167
029607	NORv12scf1	1295707	1329916	+	199898	3771	53.00928135773
029617	NORv12scf1	1358627	1369761	-	160592	1959	81.976518631955
031592	NORv12scf1	1379516	1407159	-	54730	795	68.842767295597
031591	NORv12scf1	1420911	1455145	-	120293	2211	54.406603346902
029622	NORv12scf1	1465474	1465693	-	15892	171	92.93567251462
029608	NORv12scf1	1470186	1478459	+	65716	846	77.678486997636
029609	NORv12scf1	1483458	1520217	+	60988	915	66.653551912568
031593	NORv12scf1	1526716	1527828	-	77780	1113	69.883198562444
000002	NORv12scf1	1539732	1549580	-	97021	1497	64.810287241149
029610	NORv12scf1	1551459	1581082	+	150794	2283	66.050810337276
029623	NORv12scf1	1586275	1586565	+	21117	291	72.567010309278
020158	NORv12scf2	83	17484	+	27732	402	68.985074626866
019212	NORv12scf4	333	331771	-	133725	2280	58.651315789474
019214	NORv12scf4	359259	359777	+	37904	519	73.032755298651
019213	NORv12scf4	437925	439497	-	96662	1449	66.709454796411
019215	NORv12scf4	461822	462070	-	8403	249	33.746987951807
027382	NORv12scf7	1001	9437	+	117188	1419	82.584918957012
002129	NORv12scf7	10801	13348	-	66791	1062	62.891713747646
027385	NORv12scf7	18022	60332	-	311058	4554	68.304347826087
002130	NORv12scf7	65794	85212	-	59590	1110	53.684684684685
002131	NORv12scf7	85408	106779	-	207668	2817	73.719559815406
027387	NORv12scf7	130735	130863	-	12491	129	96.829457364341
027383	NORv12scf7	151093	232665	+	173749	2487	69.862887012465
027386	NORv12scf7	311216	311383	+	14966	168	89.083333333333
027384	NORv12scf7	418377	421392	+	48713	1092	44.608974358974
002132	NORv12scf7	450387	670097	-	71771	1869	38.40074906367
023266	NORv12scf8	2327	2681	-	14359	348	41.261494252874
023268	NORv12scf8	3515	3697	+	5475	183	29.918032786885
023267	NORv12scf8	3991	4285	-	2367	201	11.776119402985
016552	NORv12scf9	4161	4715	+	15449	555	27.836036036036
016551	NORv12scf9	7770	8126	+	41771	150	278.47333333333
030809	NORv12scf10	4695	53794	+	367214	5064	72.514612954186
030808	NORv12scf10	59632	67830	+	160977	2226	72.316711590296
016501	NORv12scf10	83435	95572	+	53319	873	61.07560137457
016502	NORv12scf10	97303	113757	+	152444	2145	71.069463869464
016503	NORv12scf10	124667	137082	+	75640	1065	71.023474178404
000003	NORv12scf10	152311	235293	+	107051	2046	52.322091886608
016510	NORv12scf10	240712	244403	-	54250	795	68.238993710692
016504	NORv12scf10	273497	313835	+	86643	1407	61.579957356077
016511	NORv12scf10	315140	320709	-	46037	576	79.925347222222
016505	NORv12scf10	324346	329919	+	104733	1749	59.881646655232
016506	NORv12scf10	333370	336299	+	44205	594	74.419191919192
016507	NORv12scf10	359236	375618	+	74710	1173	63.691389599318
016508	NORv12scf10	388472	392362	+	128902	1905	67.665091863517
030810	NORv12scf10	393549	402267	-	137538	2178	63.148760330579
030811	NORv12scf10	405393	411544	-	48349	675	71.628148148148
016509	NORv12scf10	423300	426635	+	52273	828	63.131642512077
016517	NORv12scf10	428377	428478	+	5835	102	57.205882352941
016516	NORv12scf10	460935	461246	-	25966	312	83.224358974359
016512	NORv12scf10	461831	549529	-	97359	1827	53.288998357964
016514	NORv12scf10	629371	629866	+	24025	426	56.396713615023
016515	NORv12scf10	703822	704217	-	32681	396	82.527777777778
016513	NORv12scf10	712225	750260	-	18783	255	73.658823529412
025374	NORv12scf12	36614	66082	+	88193	1524	57.869422572178
027968	NORv12scf13	118	21170	+	856408	3348	255.79689366786
031518	NORv12scf13	78110	102583	+	917811	9408	97.556441326531
031519	NORv12scf13	126084	127739	+	106662	1656	64.409420289855
027969	NORv12scf13	129713	130432	+	9165	720	12.729166666667
027978	NORv12scf13	130889	146688	-	266314	4578	58.172564438619
027970	NORv12scf13	147537	153438	+	68151	888	76.746621621622
027993	NORv12scf13	153572	153919	-	20801	348	59.772988505747
027979	NORv12scf13	155386	162176	-	36387	480	75.80625
027971	NORv12scf13	165259	167826	+	33034	1260	26.21746031746
027980	NORv12scf13	167833	169295	-	27076	1065	25.423474178404
027972	NORv12scf13	182043	182549	+	19759	507	38.972386587771
027981	NORv12scf13	182553	192025	-	23491	1065	22.057276995305
031520	NORv12scf13	197680	217336	-	100935	1701	59.338624338624
000024	NORv12scf13	233062	255662	-	179000	3267	54.7903275176
027982	NORv12scf13	267632	279244	-	30517	507	60.191321499014
027973	NORv12scf13	280026	286407	+	62428	810	77.071604938272
027983	NORv12scf13	291143	293881	-	36422	621	58.650563607085
027994	NORv12scf13	317231	317533	+	12970	303	42.805280528053
027974	NORv12scf13	386665	387227	+	12868	396	32.494949494949
027975	NORv12scf13	387655	388428	+	49513	774	63.970284237726
000025	NORv12scf13	388430	390812	+	29342	1122	26.151515151515
027984	NORv12scf13	422240	430677	-	61101	1281	47.697892271663
