Protein stable ID	Human gene stable ID
ENSGACP00000000002	ENSG00000154678
ENSGACP00000000003	
ENSGACP00000000004	
ENSGACP00000000005	
ENSGACP00000000006	ENSG00000125998
ENSGACP00000000007	
ENSGACP00000000008	ENSG00000104228
ENSGACP00000000009	ENSG00000104228
ENSGACP00000000010	ENSG00000261582
ENSGACP00000000010	ENSG00000242372
ENSGACP00000000011	ENSG00000261582
ENSGACP00000000011	ENSG00000242372
ENSGACP00000000012	ENSG00000261582
ENSGACP00000000012	ENSG00000242372
ENSGACP00000000013	ENSG00000101460
ENSGACP00000000014	ENSG00000101460
ENSGACP00000000015	ENSG00000125971
ENSGACP00000000016	
ENSGACP00000000017	ENSG00000136699
ENSGACP00000000018	ENSG00000136699
ENSGACP00000000019	ENSG00000088538
ENSGACP00000000020	ENSG00000088538
ENSGACP00000000021	ENSG00000144712
ENSGACP00000000022	ENSG00000164919
ENSGACP00000000023	ENSG00000101109
ENSGACP00000000024	
ENSGACP00000000025	ENSG00000124134
ENSGACP00000000026	ENSG00000124134
ENSGACP00000000027	
ENSGACP00000000028	
ENSGACP00000000029	
ENSGACP00000000030	ENSG00000124159
ENSGACP00000000031	ENSG00000124159
ENSGACP00000000032	ENSG00000124232
ENSGACP00000000033	ENSG00000080839
ENSGACP00000000034	ENSG00000125818
ENSGACP00000000035	
ENSGACP00000000036	
ENSGACP00000000037	ENSG00000073111
ENSGACP00000000038	ENSG00000073111
ENSGACP00000000039	ENSG00000073111
ENSGACP00000000041	ENSG00000073111
ENSGACP00000000040	ENSG00000196323
ENSGACP00000000043	ENSG00000134917
ENSGACP00000000042	
ENSGACP00000000044	ENSG00000114631
ENSGACP00000000045	ENSG00000166106
ENSGACP00000000046	ENSG00000166619
ENSGACP00000000047	ENSG00000120451
ENSGACP00000000048	ENSG00000042062
ENSGACP00000000049	ENSG00000104951
ENSGACP00000000051	ENSG00000124177
ENSGACP00000000050	ENSG00000150779
ENSGACP00000000054	ENSG00000196090
ENSGACP00000000052	ENSG00000104228
ENSGACP00000000053	ENSG00000104228
ENSGACP00000000055	
ENSGACP00000000056	
ENSGACP00000000057	
ENSGACP00000000058	ENSG00000135063
ENSGACP00000000060	
ENSGACP00000000061	ENSG00000104228
ENSGACP00000000062	ENSG00000184471
ENSGACP00000000062	ENSG00000133466
ENSGACP00000000063	
ENSGACP00000000064	ENSG00000138670
ENSGACP00000000065	ENSG00000138670
ENSGACP00000000066	
ENSGACP00000000067	
ENSGACP00000000068	
ENSGACP00000000069	
ENSGACP00000000070	
ENSGACP00000000072	
ENSGACP00000000071	
ENSGACP00000000073	
ENSGACP00000000074	
ENSGACP00000000075	
ENSGACP00000000076	
ENSGACP00000000077	ENSG00000157152
ENSGACP00000000078	ENSG00000132155
ENSGACP00000000079	ENSG00000187969
ENSGACP00000000079	ENSG00000169714
ENSGACP00000000080	ENSG00000187969
ENSGACP00000000080	ENSG00000169714
ENSGACP00000000081	
ENSGACP00000000082	ENSG00000144711
ENSGACP00000000083	ENSG00000143552
ENSGACP00000000084	ENSG00000163520
ENSGACP00000000085	
ENSGACP00000000088	ENSG00000005108
ENSGACP00000000086	ENSG00000154764
ENSGACP00000000087	ENSG00000164049
ENSGACP00000000091	ENSG00000158079
ENSGACP00000000089	ENSG00000122584
ENSGACP00000000094	ENSG00000185963
ENSGACP00000000093	
ENSGACP00000000095	
ENSGACP00000000104	ENSG00000117528
ENSGACP00000000106	ENSG00000117528
ENSGACP00000000098	ENSG00000127084
ENSGACP00000000100	ENSG00000106415
ENSGACP00000000099	ENSG00000157303
ENSGACP00000000101	
ENSGACP00000000102	ENSG00000219545
ENSGACP00000000105	ENSG00000165238
ENSGACP00000000103	ENSG00000106399
ENSGACP00000000107	ENSG00000106399
ENSGACP00000000108	ENSG00000156983
ENSGACP00000000115	ENSG00000117525
ENSGACP00000000118	ENSG00000117525
ENSGACP00000000119	ENSG00000117525
ENSGACP00000000122	ENSG00000117525
ENSGACP00000000111	ENSG00000215018
ENSGACP00000000109	
ENSGACP00000000110	ENSG00000163703
