Group_984_1	XM_015946264	rna7483	efnb3	XP_015801750.1
Group_26_38	XM_015946306	rna7529	LOC107376964	XP_015801792.1
Group_1387_2	XM_015946377	rna7596	LOC107377012	XP_015801863.1
Group_995_2	XM_015947012	rna8288	adgra3	XP_015802498.1
Group_136_13	XM_015946744	rna7963	LOC107377243	XP_015802230.1
Group_2379_1	XM_015946755	rna7974	mtrf1	XP_015802241.1
Group_337_6	XM_015947131	rna8345	xkr6	XP_015802617.1
Group_5224_0	XM_015947154	rna8366	atraid	XP_015802640.1
Group_2559_0	XM_015947194	rna8406	cep57l1	XP_015802680.1
Group_2649_0	XM_015947200	rna8420	tulp4	XP_015802686.1
Group_159_5	XM_015940763	rna38356	lrrtm2	XP_015796249.1
Group_10_28	XM_015947079	rna8503	LOC107377464	XP_015802565.1
Group_143_15	XM_015947357	rna8567	gpr6	XP_015802843.1
Group_1536_0	XM_015947394	rna8603	LOC107377644	XP_015802880.1
Group_295_1	XM_015947463	rna8668	LOC107377691	XP_015802949.1
Group_90_16	XM_015948147	rna9365	plcb1	XP_015803633.1
Group_7410_0	XM_015948052	rna9185	mrps18a	XP_015803538.1
Group_115_4	XM_015948356	rna9541	fzd3	XP_015803842.1
Group_4097_1	XM_015948357	rna9544	LOC107378254	XP_015803843.1
Group_547_4	XM_015942374	rna40188	LOC107374227	XP_015797860.1
Group_139_17	XM_015955441	rna16596	mastl	XP_015810927.1
Group_602_3	XM_015955419	rna16573	LOC107383018	XP_015810905.1
Group_326_7	XM_015955310	rna16458	cct5	XP_015810796.1
Group_22_38	XM_015955272	rna16427	trpa1	XP_015810758.1
Group_10_16	XM_015955236	rna16388	sgk3	XP_015810722.1
Group_588_0	XM_015955217	rna16369	LOC107382877	XP_015810703.1
Group_5386_0	XM_015955185	rna16331	qtrt2	XP_015810671.1
Group_402_7	XM_015955109	rna16267	cpb1	XP_015810595.1
Group_23_5	XM_015955118	rna16266	agtr1	XP_015810604.1
Group_6399_0	XM_015954609	rna15733	uba5	XP_015810095.1
Group_23_29	XM_015954691	rna15833	oprk1	XP_015810177.1
Group_2020_3	XM_015954693	rna15836	lypla1	XP_015810179.1
Group_7297_0	XM_015954694	rna15837	mrpl15	XP_015810180.1
Group_2455_1	XM_015954780	rna15920	tmx3	XP_015810266.1
Group_3_20	XM_015954874	rna16022	LOC107382648	XP_015810360.1
Group_6603_0	XM_015954222	rna15621	tmem175	XP_015809708.1
Group_1726_5	XM_015954292	rna15545	LOC107382232	XP_015809778.1
Group_427_7	XM_015954446	rna15377	usp43	XP_015809932.1
Group_1140_3	XM_015952824	rna14008	cyld	XP_015808310.1
Group_4423_0	XM_015954067	rna15236	cnep1r1	XP_015809553.1
Group_43_29	XM_015954102	rna15202	csk	XP_015809588.1
Group_1727_1	XM_015953078	rna14311	tmem41b	XP_015808564.1
