Protein stable ID	Human gene stable ID
ENSTNIP00000006514	ENSG00000122986
ENSTNIP00000002180	ENSG00000204852
ENSTNIP00000006515	ENSG00000204852
ENSTNIP00000006516	
ENSTNIP00000006517	ENSG00000164134
ENSTNIP00000017262	ENSG00000109381
ENSTNIP00000017263	ENSG00000151014
ENSTNIP00000006154	ENSG00000151012
ENSTNIP00000022727	ENSG00000176160
ENSTNIP00000004670	
ENSTNIP00000009978	ENSG00000189184
ENSTNIP00000007083	ENSG00000180138
ENSTNIP00000007083	ENSG00000113712
ENSTNIP00000008557	ENSG00000145868
ENSTNIP00000008556	ENSG00000102158
ENSTNIP00000008555	ENSG00000110063
ENSTNIP00000000816	ENSG00000110063
ENSTNIP00000008554	ENSG00000010404
ENSTNIP00000008554	ENSG00000241489
ENSTNIP00000008553	ENSG00000132305
ENSTNIP00000000887	ENSG00000163950
ENSTNIP00000008561	
ENSTNIP00000008560	ENSG00000173320
ENSTNIP00000008559	ENSG00000164074
ENSTNIP00000008558	ENSG00000164074
ENSTNIP00000022961	ENSG00000089289
ENSTNIP00000022961	ENSG00000266826
ENSTNIP00000022801	ENSG00000089289
ENSTNIP00000022801	ENSG00000266826
ENSTNIP00000002299	ENSG00000168874
ENSTNIP00000003742	ENSG00000170619
ENSTNIP00000006302	ENSG00000123575
ENSTNIP00000006301	ENSG00000162298
ENSTNIP00000006300	ENSG00000113658
ENSTNIP00000006299	
ENSTNIP00000000790	ENSG00000109158
ENSTNIP00000006298	ENSG00000109158
ENSTNIP00000006213	ENSG00000078579
ENSTNIP00000008689	ENSG00000169446
ENSTNIP00000002825	ENSG00000228836
ENSTNIP00000002825	ENSG00000269586
ENSTNIP00000002825	ENSG00000271449
ENSTNIP00000002825	ENSG00000268940
ENSTNIP00000002825	ENSG00000181433
ENSTNIP00000002825	ENSG00000165359
ENSTNIP00000002825	ENSG00000269096
ENSTNIP00000002825	ENSG00000278289
ENSTNIP00000002825	ENSG00000273696
ENSTNIP00000002825	ENSG00000278085
ENSTNIP00000002825	ENSG00000270946
ENSTNIP00000008634	ENSG00000228836
ENSTNIP00000008634	ENSG00000269586
ENSTNIP00000008634	ENSG00000271449
ENSTNIP00000008634	ENSG00000268940
ENSTNIP00000008634	ENSG00000181433
ENSTNIP00000008634	ENSG00000165359
ENSTNIP00000008634	ENSG00000269096
ENSTNIP00000008634	ENSG00000278289
ENSTNIP00000008634	ENSG00000273696
ENSTNIP00000008634	ENSG00000278085
ENSTNIP00000008634	ENSG00000270946
ENSTNIP00000001015	ENSG00000228836
ENSTNIP00000001015	ENSG00000269586
ENSTNIP00000001015	ENSG00000271449
