029611	NORv12scf1	3127	4049	-	3779	660	5.7257575757576
029612	NORv12scf1	8042	8964	-	2329	660	3.5287878787879
029618	NORv12scf1	10125	12422	+	114	489	0.23312883435583
029621	NORv12scf1	26004	26357	+	203	354	0.57344632768362
000001	NORv12scf1	26929	28494	+	1840	642	2.8660436137072
029620	NORv12scf1	113918	114220	-	2117	303	6.986798679868
029624	NORv12scf1	183388	183477	+	0	90	0
029619	NORv12scf1	291726	292145	-	9685	420	23.059523809524
029600	NORv12scf1	518783	743515	+	51278	3258	15.739103744629
029613	NORv12scf1	536870	537175	-	58	306	0.18954248366013
029601	NORv12scf1	790153	823196	+	11994	1020	11.758823529412
029614	NORv12scf1	823114	871286	-	35054	3006	11.661343978709
029602	NORv12scf1	875234	895332	+	14086	1026	13.729044834308
029603	NORv12scf1	938203	938556	+	2730	354	7.7118644067797
029604	NORv12scf1	1091165	1169939	+	12914	855	15.104093567251
029605	NORv12scf1	1187641	1215959	+	12057	987	12.215805471125
029615	NORv12scf1	1217513	1231784	-	17491	1359	12.870493009566
029606	NORv12scf1	1233579	1235242	+	11489	732	15.695355191257
029616	NORv12scf1	1238088	1267548	-	50495	4059	12.440256220744
029607	NORv12scf1	1295707	1329916	+	49275	3771	13.066825775656
029617	NORv12scf1	1358627	1369761	-	25663	1959	13.100051046452
031592	NORv12scf1	1379516	1407159	-	8167	795	10.272955974843
031591	NORv12scf1	1420911	1455145	-	31242	2211	14.1302578019
029622	NORv12scf1	1465474	1465693	-	0	171	0
029608	NORv12scf1	1470186	1478459	+	14305	846	16.908983451537
029609	NORv12scf1	1483458	1520217	+	12187	915	13.31912568306
031593	NORv12scf1	1526716	1527828	-	13077	1113	11.749326145553
000002	NORv12scf1	1539732	1549580	-	17146	1497	11.453573814295
029610	NORv12scf1	1551459	1581082	+	29533	2283	12.936049058257
029623	NORv12scf1	1586275	1586565	+	3080	291	10.584192439863
020158	NORv12scf2	83	17484	+	3070	402	7.636815920398
019212	NORv12scf4	333	331771	-	33422	2280	14.658771929825
019214	NORv12scf4	359259	359777	+	0	519	0
019213	NORv12scf4	437925	439497	-	44	1449	0.030365769496204
019215	NORv12scf4	461822	462070	-	1107	249	4.4457831325301
027382	NORv12scf7	1001	9437	+	20673	1419	14.568710359408
002129	NORv12scf7	10801	13348	-	15882	1062	14.954802259887
027385	NORv12scf7	18022	60332	-	59326	4554	13.027228809838
002130	NORv12scf7	65794	85212	-	13629	1110	12.278378378378
002131	NORv12scf7	85408	106779	-	59513	2817	21.126375576855
027387	NORv12scf7	130735	130863	-	651	129	5.046511627907
027383	NORv12scf7	151093	232665	+	31403	2487	12.626859670285
027386	NORv12scf7	311216	311383	+	2469	168	14.696428571429
027384	NORv12scf7	418377	421392	+	13026	1092	11.928571428571
002132	NORv12scf7	450387	670097	-	3753	1869	2.008025682183
023266	NORv12scf8	2327	2681	-	4072	348	11.701149425287
023268	NORv12scf8	3515	3697	+	94	183	0.51366120218579
023267	NORv12scf8	3991	4285	-	1002	201	4.9850746268657
016552	NORv12scf9	4161	4715	+	0	555	0
016551	NORv12scf9	7770	8126	+	599	150	3.9933333333333
030809	NORv12scf10	4695	53794	+	59711	5064	11.791271721959
030808	NORv12scf10	59632	67830	+	20703	2226	9.300539083558
016501	NORv12scf10	83435	95572	+	10917	873	12.505154639175
016502	NORv12scf10	97303	113757	+	25954	2145	12.099766899767
016503	NORv12scf10	124667	137082	+	14434	1065	13.553051643192
000003	NORv12scf10	152311	235293	+	31118	2046	15.209188660802
016510	NORv12scf10	240712	244403	-	9302	795	11.700628930818
