014704	CTOv12scf1	341	12204	-	30124	9114	3.3052446785166
014705	CTOv12scf1	23922	24294	-	496	240	2.0666666666667
014706	CTOv12scf1	27988	47731	-	10511	2367	4.4406421630756
014707	CTOv12scf1	59659	84271	-	13151	2406	5.4659185369909
014708	CTOv12scf1	120853	143466	-	10883	2421	4.4952498967369
014692	CTOv12scf1	224389	244726	+	8765	2646	3.3125472411187
014725	CTOv12scf1	246447	246935	+	2788	489	5.7014314928425
014709	CTOv12scf1	250171	261146	-	13091	2991	4.3767970578402
014724	CTOv12scf1	263418	267851	+	2018	597	3.3802345058626
014693	CTOv12scf1	285713	290827	+	1954	492	3.9715447154472
014694	CTOv12scf1	292059	296168	+	1872	528	3.5454545454545
014710	CTOv12scf1	296169	300304	-	10906	2616	4.1689602446483
014711	CTOv12scf1	310244	323945	-	35231	8496	4.146774952919
014695	CTOv12scf1	325077	332331	+	1657	444	3.731981981982
014696	CTOv12scf1	334136	335605	+	2654	945	2.8084656084656
014712	CTOv12scf1	337518	341263	-	6961	2367	2.9408534009294
014697	CTOv12scf1	346014	362303	+	22220	6294	3.5303463616142
000001	CTOv12scf1	362306	368485	+	12733	2640	4.8231060606061
014713	CTOv12scf1	369183	374812	-	5129	1239	4.1396287328491
014698	CTOv12scf1	379900	387265	+	10978	2802	3.9179157744468
000002	CTOv12scf1	392270	396241	+	1813	672	2.6979166666667
000003	CTOv12scf1	399331	402534	+	1759	471	3.7346072186837
014699	CTOv12scf1	405481	407941	+	4747	861	5.513356562137
014714	CTOv12scf1	408474	412554	-	7054	2154	3.2748375116063
014715	CTOv12scf1	414547	434946	-	11423	3423	3.337131171487
014727	CTOv12scf1	437531	437731	-	2330	201	11.592039800995
014716	CTOv12scf1	439480	457131	-	16362	3294	4.9672131147541
014717	CTOv12scf1	462140	466900	-	5090	1368	3.7207602339181
014700	CTOv12scf1	467640	474541	+	9529	2691	3.5410628019324
030175	CTOv12scf1	474433	479973	-	6137	1470	4.1748299319728
014718	CTOv12scf1	521040	545971	-	30612	7203	4.249895876718
014719	CTOv12scf1	562404	587647	-	32515	7584	4.2873154008439
014720	CTOv12scf1	590005	593558	-	8245	1221	6.7526617526618
014701	CTOv12scf1	596084	599510	+	9244	1899	4.8678251711427
014721	CTOv12scf1	599684	610188	-	4128	687	6.0087336244541
000004	CTOv12scf1	611786	627962	+	36422	8469	4.3006258117842
029261	CTOv12scf1	631509	645205	+	23941	3885	6.1624195624196
029262	CTOv12scf1	659745	663092	+	7067	1593	4.4362837413685
014726	CTOv12scf1	664625	665410	-	5233	402	13.017412935323
014702	CTOv12scf1	667310	739522	+	12197	4287	2.8451131327268
014722	CTOv12scf1	740584	744197	-	1652	639	2.585289514867
014703	CTOv12scf1	744974	749602	+	10346	3072	3.3678385416667
014723	CTOv12scf1	752104	765097	-	3653	1221	2.99180999181
014728	CTOv12scf1	815052	852835	+	4447	1584	2.8074494949495
014729	CTOv12scf1	865567	889189	+	11299	2043	5.5305922662751
014765	CTOv12scf1	917407	917634	+	164	228	0.71929824561404
014767	CTOv12scf1	1058803	1058898	+	793	96	8.2604166666667
014730	CTOv12scf1	1075413	1076167	+	3603	345	10.44347826087
014750	CTOv12scf1	1084682	1088538	-	3898	1254	3.1084529505582
014763	CTOv12scf1	1107498	1107875	+	3489	378	9.2301587301587
014768	CTOv12scf1	1126900	1126971	-	98	72	1.3611111111111
014731	CTOv12scf1	1275659	1278391	+	2442	771	3.1673151750973
014762	CTOv12scf1	1365622	1366056	-	1906	435	4.3816091954023
014732	CTOv12scf1	1371208	1375864	+	3480	1335	2.6067415730337
014766	CTOv12scf1	1376485	1376789	-	797	198	4.0252525252525
014751	CTOv12scf1	1380993	1400977	-	27404	5535	4.9510388437218
014733	CTOv12scf1	1407347	1408696	+	2150	417	5.1558752997602
014752	CTOv12scf1	1414480	1423858	-	5415	1140	4.75
014753	CTOv12scf1	1429648	1463737	-	6692	2103	3.1821207798383
014734	CTOv12scf1	1485694	1487289	+	2603	606	4.2953795379538
014764	CTOv12scf1	1521320	1528156	+	8062	861	9.3635307781649
014754	CTOv12scf1	1530894	1536122	-	5475	942	5.812101910828
014735	CTOv12scf1	1544252	1564315	+	6062	1188	5.1026936026936
014755	CTOv12scf1	1581594	1585848	-	3406	897	3.7971014492754
014756	CTOv12scf1	1586434	1595223	-	17128	3114	5.5003211303789
014757	CTOv12scf1	1599305	1607018	-	5611	1506	3.7257636122178
014736	CTOv12scf1	1618346	1635817	+	16684	4365	3.8222222222222
014737	CTOv12scf1	1640784	1653670	+	11563	3570	3.2389355742297
014738	CTOv12scf1	1655810	1658108	+	2511	495	5.0727272727273
014739	CTOv12scf1	1658857	1673474	+	23878	4650	5.1350537634409
014740	CTOv12scf1	1675134	1677251	+	2073	714	2.9033613445378
014741	CTOv12scf1	1678695	1684591	+	13385	2859	4.6817068905212
014742	CTOv12scf1	1685513	1689212	+	9724	2076	4.6840077071291
014743	CTOv12scf1	1690590	1695587	+	4567	1086	4.2053406998158
014744	CTOv12scf1	1699817	1711685	+	12158	3381	3.5959775214434
014758	CTOv12scf1	1714010	1715839	-	5667	1347	4.2071269487751
014745	CTOv12scf1	1719784	1747752	+	13189	2604	5.0649001536098
014746	CTOv12scf1	1748394	1750135	+	3027	1155	2.6207792207792
014759	CTOv12scf1	1750225	1758352	-	11777	1803	6.5318912922906
014760	CTOv12scf1	1758767	1761943	-	1908	780	2.4461538461538
014747	CTOv12scf1	1764116	1766600	+	2402	903	2.6600221483942
014761	CTOv12scf1	1770801	1771430	-	1664	630	2.6412698412698
014791	CTOv12scf1	1784617	1803652	-	12813	2877	4.4535974973931
014792	CTOv12scf1	1816155	1821720	-	901	282	3.1950354609929
014748	CTOv12scf1	1824030	1826276	+	618	243	2.5432098765432
014793	CTOv12scf1	1828664	1838957	-	3920	1023	3.8318670576735
014749	CTOv12scf1	1843612	1845641	+	4597	1164	3.9493127147766
030176	CTOv12scf1	1852441	1861849	-	6650	1740	3.8218390804598
014794	CTOv12scf1	1863649	1874445	-	11571	2601	4.4486735870819
014769	CTOv12scf1	1899819	1909910	+	17513	2334	7.5034275921165
014770	CTOv12scf1	1913555	1921883	+	7792	1560	4.9948717948718
014795	CTOv12scf1	1921942	1936417	-	14209	2550	5.5721568627451
014796	CTOv12scf1	1943086	1953216	-	2845	714	3.984593837535
014771	CTOv12scf1	1954538	1960544	+	7042	1788	3.9384787472036
