Group_4096_1	XM_015946263	rna7482	wrap53	XP_015801749.1
Group_840_4	XM_015946304	rna7527	LOC107376962	XP_015801790.1
Group_5479_0	XM_015946519	rna7751	plaa	XP_015802005.1
Group_641_6	XM_015946521	rna7753	zdhhc21	XP_015802007.1
Group_182_5	XM_015946964	rna8215	LOC107377411	XP_015802450.1
Group_1524_0	XM_015946978	rna8203	dmrta1	XP_015802464.1
Group_758_0	XM_015946672	rna7888	LOC107377203	XP_015802158.1
Group_442_8	XM_015946701	rna7918	LOC107377228	XP_015802187.1
Group_577_0	XM_015946825	rna8044	sall2	XP_015802311.1
Group_19_27	XM_015940695	rna38270	LOC107372451	XP_015796181.1
Group_6458_0	XM_015953697	rna14648	LOC107381811	XP_015809183.1
Group_525_4	XM_015975897	rna36556	LOC107396280	XP_015831383.1
Group_4598_0	XM_015975909	rna36558	gpr151	XP_015831395.1
Group_290_7	XM_015947100	rna8311	hbs1l	XP_015802586.1
Group_853_0	XM_015947165	rna8379	LOC107377518	XP_015802651.1
Group_1314_0	XM_015947192	rna8404	sesn1	XP_015802678.1
Group_2748_0	XM_015947219	rna8428	LOC107377552	XP_015802705.1
Group_815_1	XM_015947078	rna8495	LOC107377463	XP_015802564.1
Group_57_14	XM_015947423	rna8632	rhob	XP_015802909.1
Group_2580_1	XM_015947424	rna8633	pum2	XP_015802910.1
Group_5478_0	XM_015947448	rna8655	rd3	XP_015802934.1
Group_763_1	XM_015947738	rna8942	LOC107377839	XP_015803224.1
Group_40_30	XM_015955510	rna16662	LOC107383083	XP_015810996.1
Group_40_24	XM_015955508	rna16660	cdh18	XP_015810994.1
Group_313_9	XM_015955497	rna16651	LOC107383076	XP_015810983.1
Group_121_17	XM_015955629	rna16591	LOC107383153	XP_015811115.1
Group_4487_0	XM_015955433	rna16587	bloc1s5	XP_015810919.1
Group_5740_0	XM_015955432	rna16586	eef1e1	XP_015810918.1
Group_7516_0	XM_015955628	rna16583	ofcc1	XP_015811114.1
Group_4929_0	XM_015955321	rna16476	hgd	XP_015810807.1
Group_3114_0	XM_015955299	rna16451	fbxo15	XP_015810785.1
Group_878_0	XM_015955285	rna16438	jph1	XP_015810771.1
Group_605_4	XM_015955249	rna16403	sulf1	XP_015810735.1
Group_16_6	XM_015955214	rna16366	flt1	XP_015810700.1
Group_2238_0	XM_015955198	rna16348	shisa2	XP_015810684.1
Group_6447_0	XM_015955191	rna16344	usf3	XP_015810677.1
Group_823_0	XM_015955122	rna16280	LOC107382811	XP_015810608.1
Group_1184_0	XM_015955123	rna16277	LOC107382812	XP_015810609.1
Group_960_0	XM_015954627	rna15772	shh	XP_015810113.1
Group_1226_2	XM_015954647	rna15790	plxdc2	XP_015810133.1
Group_4045_1	XM_015954969	rna16129	txndc5	XP_015810455.1
Group_4215_0	XM_015954957	rna16122	ipo4	XP_015810443.1
Group_7514_0	XM_015954962	rna16121	LOC107382707	XP_015810448.1
Group_50_35	XM_015954887	rna16041	LOC107382657	XP_015810373.1
Group_3303_1	XM_015942497	rna40325	LOC107374348	XP_015797983.1
Group_3438_1	XM_015942496	rna40326	fgfbp1	XP_015797982.1
Group_8166_0	XM_015954130	rna15718	tmem187	XP_015809616.1
Group_499_8	XM_015954244	rna15594	LOC107382199	XP_015809730.1
Group_31_56	XM_015954282	rna15557	LOC107382227	XP_015809768.1
Group_7156_0	XM_015954303	rna15534	fdx1l	XP_015809789.1
Group_143_13	XM_015954307	rna15529	LOC107382245	XP_015809793.1
Group_88_13	XM_015954416	rna15411	LOC107382309	XP_015809902.1
Group_1892_2	XM_015952847	rna13981	LOC107381262	XP_015808333.1
Group_86_16	XM_015952842	rna13986	mmp2	XP_015808328.1
Group_262_2	XM_015952840	rna13987	irx6	XP_015808326.1
Group_150_8	XM_015952813	rna14018	adcy7	XP_015808299.1
Group_1954_0	XM_015954100	rna15204	LOC107382107	XP_015809586.1
Group_2569_0	XM_015950609	rna11718	cilp	XP_015806095.1
Group_2006_1	XM_015953149	rna14234	fam189a1	XP_015808635.1
Group_2232_1	XM_015953127	rna14258	dagla	XP_015808613.1
Group_7335_0	XM_015953035	rna14352	nudt21	XP_015808521.1
Group_8327_1	XM_015953032	rna14354	LOC107381397	XP_015808518.1
Group_0_66	XM_015953031	rna14355	LOC107381396	XP_015808517.1
Group_4793_0	XM_015953021	rna14364	ccpg1	XP_015808507.1
Group_178_10	XM_015952988	rna14394	mtmr10	XP_015808474.1
Group_1718_0	XM_015952932	rna14460	LOC107381326	XP_015808418.1
Group_4172_1	XM_015952931	rna14465	pdcd5	XP_015808417.1
Group_4769_0	XM_015952925	rna14466	mvd	XP_015808411.1
Group_8936_0	XM_015975216	rna35873	LOC107395765	XP_015830702.1
Group_246_4	XM_015953605	rna14740	itga11	XP_015809091.1
Group_24_18	XM_015953581	rna14766	map2k5	XP_015809067.1
Group_1100_4	XM_015953472	rna14874	prss23	XP_015808958.1
Group_8_68	XM_015953414	rna14934	pcdh20	XP_015808900.1
Group_3189_1	XM_015952730	rna13870	cmtm3	XP_015808216.1
Group_518_4	XM_015952733	rna13873	galns	XP_015808219.1
Group_5419_0	XM_015952806	rna13877	acsf3	XP_015808292.1
Group_180_19	XM_015953937	rna15170	slc7a10	XP_015809423.1
Group_840_3	XM_015953867	rna14991	LOC107381931	XP_015809353.1
Group_93_10	XM_015974505	rna35134	LOC107395189	XP_015829991.1
Group_6617_0	XM_015973591	rna34218	dpm3	XP_015829077.1
Group_6643_0	XM_015975663	rna36325	pdss2	XP_015831149.1
Group_870_1	XM_015973796	rna34421	fam65b	XP_015829282.1
Group_1734_0	XM_015974002	rna34610	LOC107394844	XP_015829488.1
Group_1347_5	XM_015973890	rna34556	arpp21	XP_015829376.1
Group_1001_0	XM_015967179	rna27963	LOC107390461	XP_015822665.1
Group_739_0	XM_015967155	rna27985	tshz2	XP_015822641.1
Group_2480_1	XM_015967024	rna28119	hsd17b10	XP_015822510.1
Group_0_106	XM_015966978	rna28162	zbtb17	XP_015822464.1
Group_2436_3	XM_015966979	rna28163	hspb7	XP_015822465.1
Group_2025_2	XM_015966964	rna28177	nadk	XP_015822450.1
Group_5055_0	XM_015967422	rna28274	eif2s2	XP_015822908.1
Group_1456_1	XM_015967427	rna28275	LOC107390603	XP_015822913.1
Group_990_5	XM_015967504	rna28294	stac3	XP_015822990.1
Group_590_3	XM_015967592	rna28386	LOC107390723	XP_015823078.1
Group_6249_0	XM_015967666	rna28459	ctnnbip1	XP_015823152.1
Group_8567_0	XM_015967673	rna28466	LOC107390762	XP_015823159.1
Group_65_2	XM_015967740	rna28529	alx3	XP_015823226.1
Group_1863_2	XM_015967741	rna28530	rbm15	XP_015823227.1
Group_2631_1	XM_015967766	rna28555	LOC107390823	XP_015823252.1
Group_672_1	XM_015967777	rna28567	LOC107390830	XP_015823263.1
Group_191_2	XM_015967919	rna28698	hoxc11	XP_015823405.1
Group_55_18	XM_015967917	rna28705	LOC107390911	XP_015823403.1
Group_7494_0	XM_015967947	rna28727	fkbpl	XP_015823433.1
Group_1495_2	XM_015941811	rna39553	LOC107373672	XP_015797297.1
Group_206_11	XM_015968072	rna28838	slc9a8	XP_015823558.1
Group_1788_0	XM_015968074	rna28840	emilin3	XP_015823560.1
Group_1860_2	XM_015968077	rna28844	samd10	XP_015823563.1
Group_1310_0	XM_015968093	rna28860	birc7	XP_015823579.1
Group_1122_3	XM_015968096	rna28861	ythdf1	XP_015823582.1
Group_305_10	XM_015968099	rna28864	slc17a9	XP_015823585.1
Group_195_2	XM_015968215	rna28978	brpf1	XP_015823701.1
Group_1552_2	XM_015968285	rna29045	LOC107391156	XP_015823771.1
Group_1187_3	XM_015968310	rna29067	LOC107391170	XP_015823796.1
Group_40_6	XM_015968323	rna29080	cdh4	XP_015823809.1
Group_54_8	XM_015968412	rna29167	rho	XP_015823898.1
Group_214_2	XM_015960020	rna21094	fam83d	XP_015815506.1
Group_603_5	XM_015960019	rna21095	zhx3	XP_015815505.1
Group_534_1	XM_015960027	rna21101	LOC107385873	XP_015815513.1
Group_201_12	XM_015959820	rna20887	oxtr	XP_015815306.1
Group_3027_0	XM_015959792	rna20858	LOC107385719	XP_015815278.1
Group_6906_0	XM_015959788	rna20857	uroc1	XP_015815274.1
Group_724_2	XM_015959615	rna20688	mettl21b	XP_015815101.1
Group_13_29	XM_015959588	rna20661	mapkapk2	XP_015815074.1
Group_856_2	XM_015959558	rna20635	myog	XP_015815044.1
Group_32_39	XM_015959509	rna20587	LOC107385551	XP_015814995.1
Group_4899_0	XM_015959510	rna20585	pusl1	XP_015814996.1
Group_2452_0	XM_015959492	rna20570	dnajc11	XP_015814978.1
Group_370_8	XM_015959487	rna20563	LOC107385538	XP_015814973.1
Group_390_11	XM_015959460	rna20537	LOC107385527	XP_015814946.1
Group_144_0	XM_015959444	rna20522	plxna1	XP_015814930.1
Group_934_7	XM_015959409	rna20487	tmem233	XP_015814895.1
Group_1611_2	XM_015959404	rna20482	LOC107385491	XP_015814890.1
Group_466_4	XM_015959319	rna20396	synpr	XP_015814805.1
Group_135_2	XM_015959297	rna20374	LOC107385437	XP_015814783.1
Group_2228_1	XM_015959295	rna20373	suclg2	XP_015814781.1
Group_1789_1	XM_015959284	rna20360	uba3	XP_015814770.1
Group_2723_0	XM_015959196	rna20265	st7l	XP_015814682.1
Group_766_3	XM_015959152	rna20222	LOC107385337	XP_015814638.1
Group_6647_0	XM_015959099	rna20166	rpl29	XP_015814585.1
Group_905_3	XM_015959072	rna20140	timp4	XP_015814558.1
Group_39_44	XM_015959013	rna20079	LOC107385251	XP_015814499.1
Group_1322_0	XM_015958915	rna19982	rbm5	XP_015814401.1
Group_1099_4	XM_015958810	rna19881	LOC107385135	XP_015814296.1
Group_3204_0	XM_015958808	rna19879	LOC107385132	XP_015814294.1
Group_40_5	XM_015958759	rna19835	LOC107385112	XP_015814245.1
Group_294_0	XM_015958656	rna19735	LOC107385055	XP_015814142.1
Group_158_10	XM_015958590	rna19675	grm4	XP_015814076.1
Group_449_0	XM_015958431	rna19504	rims4	XP_015813917.1
Group_516_2	XM_015960583	rna21161	inpp5e	XP_015816069.1
Group_94_32	XM_015960168	rna21571	wnt11	XP_015815654.1
Group_55_31	XM_015960798	rna21792	gsx1	XP_015816284.1
Group_770_3	XM_015960862	rna21852	LOC107386459	XP_015816348.1
Group_6074_0	XM_015960983	rna21971	cwc15	XP_015816469.1
Group_48_2	XM_015977352	rna38058	gabra3	XP_015832838.1
Group_220_0	XM_015961157	rna22142	ppm1e	XP_015816643.1
Group_6439_0	XM_015961180	rna22164	zswim7	XP_015816666.1
Group_10_49	XM_015961197	rna22186	LOC107386663	XP_015816683.1
Group_3_89	XM_015961240	rna22223	rab24	XP_015816726.1
Group_1290_0	XM_015961271	rna22253	spry4	XP_015816757.1
Group_2950_0	XM_015961279	rna22261	yipf5	XP_015816765.1
Group_19_40	XM_015974884	rna35527	LOC107395488	XP_015830370.1
Group_647_5	XM_015961293	rna22275	LOC107386722	XP_015816779.1
Group_2445_1	XM_015961365	rna22340	LOC107386759	XP_015816851.1
Group_2857_0	XM_015961371	rna22346	LOC107386763	XP_015816857.1
Group_2315_0	XM_015961386	rna22366	ccni2	XP_015816872.1
Group_1667_0	XM_015961626	rna22594	postn	XP_015817112.1
Group_2008_0	XM_015961671	rna22637	chordc1	XP_015817157.1
Group_5833_0	XM_015963715	rna24618	cops3	XP_015819201.1
Group_6968_0	XM_015963714	rna24617	nt5m	XP_015819200.1
Group_7214_0	XM_015963601	rna24489	enthd2	XP_015819087.1
Group_17_24	XM_015963250	rna24136	kif22	XP_015818736.1
Group_124_17	XM_015963228	rna24118	LOC107387945	XP_015818714.1
Group_46_31	XM_015963178	rna24061	psmc5	XP_015818664.1
Group_360_13	XM_015963143	rna24023	gfra1	XP_015818629.1
Group_1167_0	XM_015963140	rna24021	LOC107387889	XP_015818626.1
Group_978_3	XM_015963028	rna23845	spock2	XP_015818514.1
Group_168_13	XM_015962959	rna23778	LOC107387781	XP_015818445.1
Group_2670_0	XM_015962929	rna23750	LOC107387767	XP_015818415.1
Group_5122_0	XM_015962834	rna23649	timm23	XP_015818320.1
Group_542_1	XM_015962825	rna23642	LOC107387708	XP_015818311.1
Group_73_17	XM_015962803	rna23620	sdk2	XP_015818289.1
Group_3882_0	XM_015962785	rna23595	lsm12	XP_015818271.1
Group_7555_0	XM_015962435	rna23431	mrm1	XP_015817921.1
Group_639_4	XM_015962299	rna23113	pbx1	XP_015817785.1
Group_0_191	XM_015962367	rna23043	bcl6	XP_015817853.1
Group_2501_0	XM_015971527	rna32243	fkbp8	XP_015827013.1
Group_1219_3	XM_015971391	rna32110	c2cd4c	XP_015826877.1
Group_9170_0	XM_015971301	rna32017	LOC107393121	XP_015826787.1
Group_1529_0	XM_015971300	rna32016	tnfaip8l1	XP_015826786.1
Group_738_2	XM_015970609	rna31920	negr1	XP_015826095.1
Group_1223_0	XM_015970828	rna31709	arid3a	XP_015826314.1
Group_2673_0	XM_015970908	rna31631	plvap	XP_015826394.1
Group_1813_2	XM_015970948	rna31593	LOC107392884	XP_015826434.1
Group_6853_0	XM_015969018	rna29766	apopt1	XP_015824504.1
Group_7479_0	XM_015969017	rna29765	bag5	XP_015824503.1
Group_2275_0	XM_015969407	rna30107	letm1	XP_015824893.1
Group_4424_0	XM_015969190	rna30168	golga5	XP_015824676.1
Group_1157_2	XM_015969194	rna30220	atl1	XP_015824680.1
Group_839_0	XM_015969650	rna30405	ptbp1	XP_015825136.1
Group_232_11	XM_015969727	rna30481	LOC107392129	XP_015825213.1
Group_3518_1	XM_015969792	rna30545	ddhd1	XP_015825278.1
Group_7657_0	XM_015969808	rna30564	csgr16h15orf41	XP_015825294.1
Group_2354_0	XM_015969826	rna30574	fam98b	XP_015825312.1
Group_795_4	XM_015969857	rna30611	luzp1	XP_015825343.1
Group_247_7	XM_015969992	rna30738	ivd	XP_015825478.1
Group_8170_0	XM_015970089	rna30828	fam181a	XP_015825575.1
Group_9036_0	XM_015970100	rna30842	csgr16h14orf180	XP_015825586.1
Group_813_0	XM_015970121	rna30854	msh4	XP_015825607.1
Group_3901_0	XM_015970156	rna30896	npc2	XP_015825642.1
Group_3249_1	XM_015970207	rna30941	dlst	XP_015825693.1
Group_7363_0	XM_015970223	rna30963	exd1	XP_015825709.1
Group_216_1	XM_015970232	rna30971	LOC107392432	XP_015825718.1
Group_719_4	XM_015970235	rna30972	gpx2	XP_015825721.1
Group_3705_1	XM_015970272	rna31012	crim1	XP_015825758.1
Group_7148_0	XM_015970308	rna31048	zfyve19	XP_015825794.1
Group_1087_3	XM_015970481	rna31212	LOC107392595	XP_015825967.1
Group_2376_1	XM_015970355	rna31093	kbtbd11	XP_015825841.1
Group_1953_1	XM_015970412	rna31150	insm1	XP_015825898.1
Group_7920_0	XM_015970422	rna31152	kiz	XP_015825908.1
Group_15_45	XM_015970440	rna31180	LOC107392559	XP_015825926.1
Group_336_4	XM_015971884	rna32588	LOC107393500	XP_015827370.1
Group_1245_1	XM_015971998	rna32696	fbrsl1	XP_015827484.1
Group_46_11	XM_015972003	rna32700	LOC107393555	XP_015827489.1
Group_2064_1	XM_015972034	rna32731	hnf1a	XP_015827520.1
Group_323_2	XM_015972067	rna32764	dock5	XP_015827553.1
Group_16_13	XM_015972083	rna32781	LOC107393607	XP_015827569.1
Group_28_49	XM_015972143	rna32838	angptl2	XP_015827629.1
Group_1432_1	XM_015972150	rna32844	mvb12b	XP_015827636.1
Group_5367_0	XM_015972240	rna32933	ciao1	XP_015827726.1
Group_940_0	XM_015972241	rna32935	LOC107393695	XP_015827727.1
Group_2571_1	XM_015972252	rna32944	vps33a	XP_015827738.1
Group_269_6	XM_015972263	rna32955	pitpnb	XP_015827749.1
Group_8552_0	XM_015972355	rna33045	pebp4	XP_015827841.1
Group_5331_0	XM_015972607	rna33275	pes1	XP_015828093.1
Group_7528_0	XM_015972624	rna33289	mmab	XP_015828110.1
Group_5062_0	XM_015972650	rna33317	ung	XP_015828136.1
Group_4480_0	XM_015972654	rna33320	usp30	XP_015828140.1
Group_47_32	XM_015973094	rna33362	rasl10a	XP_015828580.1
Group_1257_2	XM_015973092	rna33374	LOC107394233	XP_015828578.1
Group_154_3	XM_015972741	rna33502	LOC107394027	XP_015828227.1
Group_16_35	XM_015972751	rna33510	ntrk2	XP_015828237.1
Group_5890_0	XM_015972753	rna33513	rmi1	XP_015828239.1
Group_373_5	XM_015972779	rna33537	tle1	XP_015828265.1
Group_1654_0	XM_015972932	rna33677	fam109a	XP_015828418.1
Group_7105_0	XM_015972933	rna33678	prr16	XP_015828419.1
Group_1990_3	XM_015972956	rna33697	LOC107394162	XP_015828442.1
Group_1646_0	XM_015960787	rna2149	LOC107386414	XP_015816273.1
